Identifier,Time_h,Replicate,Timepoint,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Compound
b,121.5,2,8,2,56.9,27.457,1365,26.202,1.255,6542,0.095,sample,20221221,Sulfate
b,121.5,2,8,3,113.9,11.848,349,11.307,0.54,1665,-2.279,sample,20221221,Sulfate
b,121.5,2,8,4,55.8,27.35,1370,26.1,1.25,6562,-0.321,sample,20221221,Sulfate
b,121.5,2,8,5,55.3,27.771,1382,26.502,1.27,6622,-0.128,sample,20221221,Sulfate
b,210.5,2,12,1,55,29.947,1484,28.578,1.369,7114,0,sample,20221221,Sulfate
b,210.5,2,12,2,57.2,28.225,1396,26.934,1.291,6693,0.171,sample,20221221,Sulfate
b,210.5,2,12,3,149,42.227,1315,40.301,1.926,6279,-2.048,sample,20221221,Sulfate
b,210.5,2,12,4,57.5,27.297,1361,26.049,1.248,6519,-0.236,sample,20221221,Sulfate
b,210.5,2,12,5,56.8,27.487,1366,26.23,1.257,6544,0.022,sample,20221221,Sulfate
e,0,1,0,1,53.9,34.505,1712,32.929,1.577,8201,0,sample,20221114,Sulfide
e,0,1,0,2,56,34.575,1711,32.995,1.58,8192,0.039,sample,20221114,Sulfide
e,0,1,0,3,169.6,40.525,1122,38.677,1.848,5356,-2.055,sample,20221114,Sulfide
e,0,1,0,4,55.8,33.784,1676,32.24,1.544,8024,-0.157,sample,20221114,Sulfide
e,0,1,0,5,56.5,33.891,1676,32.343,1.549,8024,-0.028,sample,20221114,Sulfide
e,0,1,0,1,53.5,29.03,1448,27.702,1.328,6942,0,sample,20221221,Sulfide
e,0,1,0,2,57.3,29.242,1452,27.904,1.338,6964,0.146,sample,20221221,Sulfide
e,0,1,0,3,120.7,39.028,1436,37.249,1.779,6855,-2.184,sample,20221221,Sulfide
e,0,1,0,4,54.1,29.03,1447,27.703,1.328,6937,-0.189,sample,20221221,Sulfide
e,0,1,0,5,54.1,29.272,1453,27.933,1.339,6964,0.052,sample,20221221,Sulfide
e,0,2,0,1,53.5,29.032,1446,27.704,1.328,6934,0,sample,20221221,Sulfide
e,0,2,0,2,56.4,29.196,1450,27.86,1.336,6950,0.095,sample,20221221,Sulfide
e,0,2,0,3,94.8,11.092,403,10.587,0.506,1925,-1.955,sample,20221221,Sulfide
e,0,2,0,4,55.2,28.712,1435,27.398,1.313,6878,-0.23,sample,20221221,Sulfide
e,0,2,0,5,55.6,29.035,1441,27.707,1.328,6910,-0.014,sample,20221221,Sulfide
e,28,1,3,1,53.9,32.359,1606,30.88,1.479,7689,0,sample,20221114,Sulfide
e,28,1,3,2,56.2,32.418,1606,30.937,1.481,7689,0.024,sample,20221114,Sulfide
e,28,1,3,3,116.4,33.387,431,12.775,0.612,2061,-2.246,sample,20221114,Sulfide
e,28,1,3,4,54.7,31.923,1590,30.465,1.458,7613,-0.159,sample,20221114,Sulfide
e,28,1,3,5,54.7,32.124,1590,30.656,1.468,7613,-0.06,sample,20221114,Sulfide
e,28,1,3,1,54.6,27.513,1372,26.254,1.258,6578,0,sample,20221221,Sulfide
e,28,1,3,2,57.9,27.793,1380,26.522,1.271,6616,0.065,sample,20221221,Sulfide
