Identifier,Time_h,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Date
AGS26,,,5,36.691,35.012,1.679,1813,8693,-0.133,standard,20210331
AGS26,,,1,36.689,35.01,1.679,1815,8702,0,standard,20210331
AGS26,,,2,36.73,35.049,1.681,1815,8699,-0.033,standard,20210331
AGS26,,,3,41.158,39.236,1.922,1327,6491,23.582,standard,20210331
AGS26,,,4,36.375,34.71,1.665,1807,8666,-0.057,standard,20210331
AGS26,,,5,36.646,34.97,1.677,1813,8693,-0.128,standard,20210331
d,31.5,1,1,36.716,35.039,1.676,1814,8675,0,sample,20210331
d,31.5,1,2,36.731,35.054,1.677,1814,8675,-0.073,sample,20210331
d,31.5,1,3,42.231,40.311,1.92,1328,6313,-4.707,sample,20210331
d,31.5,1,4,36.303,34.646,1.657,1804,8626,-0.5,sample,20210331
d,31.5,1,5,36.603,34.932,1.67,1812,8659,-0.703,sample,20210331
