ID,Replicate,Timepoint,Time_h,well,Compound,Conc_uM
full,2,7,101.5,1,Sulfate,286.0461244
full,2,8,121.5,1,Sulfate,500.5543224
full,2,9,144.5,1,Sulfate,608.6915163
full,2,12,210.5,1,Sulfate,738.9302722
full,2,14,309,1,Sulfate,913.272315
full,2,16,387.5,1,Sulfate,987.1681698
full,2,20,529,1,Sulfate,942.4433846
neg,1,3,28,1,Sulfide,2.284899193
neg,1,3,28,2,Sulfide,2.242141616
neg,1,4,43.5,1,Sulfide,1.268065525
neg,1,4,43.5,2,Sulfide,1.324658099
neg,1,5,70.5,1,Sulfide,1.427252701
neg,1,5,70.5,2,Sulfide,1.502733974
neg,1,6,91,1,Sulfide,1.883006662
neg,1,6,91,2,Sulfide,1.893349704
neg,1,8,121.5,1,Sulfide,1.280880738
neg,1,8,121.5,2,Sulfide,1.244933056
neg,1,8,121.5,3,Sulfide,1.25539072
neg,1,10,170.5,1,Sulfide,1.017072055
neg,1,10,170.5,2,Sulfide,1.032941552
neg,1,10,170.5,3,Sulfide,1.048963284
neg,1,12,210.5,1,Sulfide,1.127989302
neg,1,12,210.5,2,Sulfide,1.174216062
neg,1,13,236.5,1,Sulfide,1.31576828
neg,1,13,236.5,2,Sulfide,1.358620721
neg,1,14,309,1,Sulfide,0.872429919
neg,1,14,309,2,Sulfide,0.966829593
neg,1,15,354.5,1,Sulfide,0.895821409
neg,1,15,354.5,2,Sulfide,0.924375796
neg_extratube,1,11,192.5,1,Sulfide,1.651503061
neg_extratube,1,11,192.5,2,Sulfide,1.614067676
