,Identifier,Time_h,Replicate,Peak_Nr,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Measurement,Date,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value
657,medium,54.5,3.0,3,34.429,1350,32.864000000000004,1.565,6420,-9.242,sample,sulfide,20220218,31.5436,-10.08204891895662,-9.712475532044932,high,-9.33097455332673
662,medium,71.0,3.0,3,42.669,1634,40.741,1.9280000000000002,7729,-13.405999999999999,sample,sulfide,20220218,39.7836,-14.37406152987663,-14.0582133203245,high,-13.85054185313748
667,medium,83.0,3.0,3,21.236,809,20.278,0.9590000000000001,3819,-19.985,sample,sulfide,20220218,18.3506,-23.118195605593275,-22.646279539274826,low,-21.54335394848933
672,medium,91.0,3.0,3,24.837,936,23.717,1.12,4414,-31.245,sample,sulfide,20220218,21.9516,-35.34427400645056,-34.89638293141614,low,-33.54845527278782
677,lower,151.0,4.0,3,56.263999999999996,2150,53.699,2.565,10260,-2.9330000000000003,sample,sulfate,20220218,53.3786,-3.0883839643602493,-2.8701491052219628,high,-2.2149550694308413
682,lower,151.0,5.0,3,54.981,2077,52.478,2.503,9894,-2.778,sample,sulfate,20220218,52.095600000000005,-2.928625801027342,-2.696581301229733,high,-2.0344445532789224
687,lower,151.0,6.0,3,51.83,2047,49.467,2.363,9766,-3.1919999999999997,sample,sulfate,20220218,48.9446,-3.376729205673352,-3.1390095110842404,high,-2.49456989152761
692,lower,295.0,4.0,3,47.74,1805,45.566,2.173,8600,-2.838,sample,sulfate,20220218,44.854600000000005,-3.0168014045382185,-2.7333018052976525,high,-2.0726338775095585
697,lower,295.0,5.0,3,50.063,1886,47.782,2.28,8994,-2.287,sample,sulfate,20220218,47.177600000000005,-2.4232979481787966,-2.1551213748752875,high,-1.4713262298702992
702,lower,295.0,6.0,3,35.54,1345,33.922,1.618,6409,-3.179,sample,sulfate,20220218,32.6546,-3.4547341042303374,-3.084214851520066,high,-2.4375834455808687
737,high,151.0,5.0,3,64.234,2407,61.305,2.929,11488,-0.39899999999999997,sample,sulfate,20220218,61.3486,-0.4150162559536811,-0.24539889886259983,high,0.5147851451828962
742,high,151.0,6.0,3,35.949,1364,34.31,1.639,6509,-1.511,sample,sulfate,20220218,33.0636,-1.6377599317678653,-1.270834969092212,high,-0.5516683678559005
747,high,295.0,5.0,3,23.373,877,22.307,1.0659999999999998,4185,-2.299,sample,sulfate,20220218,20.4876,-2.614548667486675,-2.1554963760289634,low,-1.4623864485083842
752,high,295.0,6.0,3,24.135,910,23.035,1.1,4340,-3.555,sample,sulfate,20220218,21.2496,-4.029780573751977,-3.5769709965649183,low,-2.85543157663362
757,medium,101.5,5.0,3,19.719,726,18.82,0.9,3467,-1.544,sample,sulfate,20220218,16.8336,-1.7986310878243514,-1.3110136492494104,low,-0.6347933762644221
762,medium,101.5,6.0,3,36.067,1410,34.422,1.645,6732,-1.851,sample,sulfate,20220218,33.1816,-2.0068748125467124,-1.6486518152180296,high,-0.9445978878267509
767,medium,83.0,4.0,3,151.128,5369,144.23,6.898,25662,-0.902,sample,sulfate,20220218,148.24259999999998,-0.9184185671325247,-1.3091321091224621,high,-0.5914973934873606
772,medium,83.0,5.0,3,144.872,5218,138.263,6.609,24932,-1.141,sample,sulfate,20220218,141.9866,-1.1629988483420266,-1.5251472432147346,high,-0.816153132943324
777,medium,83.0,6.0,3,134.847,4826,128.702,6.145,23034,-1.9280000000000002,sample,sulfate,20220218,131.9616,-1.9688781909282702,-2.2568707071920113,high,-1.577145535479692
